tau,Phenol_75 PINN,cb,Phenyl Acetate_75 PINN,cd
1.689999999999999947e+00,1.136285662651062012e-01,3.074090182781219482e-01,4.271108657121658325e-02,4.772671312093734741e-02
1.699999999999999956e+00,1.134055107831954956e-01,3.071918487548828125e-01,4.291807860136032104e-02,4.794212430715560913e-02
1.709999999999999964e+00,1.131832301616668701e-01,3.069751262664794922e-01,4.312470555305480957e-02,4.815698415040969849e-02
1.719999999999999973e+00,1.129619181156158447e-01,3.067589998245239258e-01,4.333098232746124268e-02,4.837128892540931702e-02
1.729999999999999982e+00,1.127414703369140625e-01,3.065432906150817871e-01,4.353695735335350037e-02,4.858505725860595703e-02
1.739999999999999991e+00,1.125217527151107788e-01,3.063282370567321777e-01,4.374250769615173340e-02,4.879827797412872314e-02
1.750000000000000000e+00,1.123030632734298706e-01,3.061136603355407715e-01,4.394775629043579102e-02,4.901093244552612305e-02
1.760000000000000009e+00,1.120850443840026855e-01,3.058996200561523438e-01,4.415260255336761475e-02,4.922307655215263367e-02
1.770000000000000018e+00,1.118678599596023560e-01,3.056860268115997314e-01,4.435708373785018921e-02,4.943466931581497192e-02
1.780000000000000027e+00,1.116516888141632080e-01,3.054730594158172607e-01,4.456114768981933594e-02,4.964569211006164551e-02
1.790000000000000036e+00,1.114361286163330078e-01,3.052604794502258301e-01,4.476492106914520264e-02,4.985623806715011597e-02
1.800000000000000044e+00,1.112215667963027954e-01,3.050484955310821533e-01,4.496837407350540161e-02,5.006618797779083252e-02
1.810000000000000053e+00,1.110076755285263062e-01,3.048368990421295166e-01,4.517137259244918823e-02,5.027566105127334595e-02
1.820000000000000062e+00,1.107946783304214478e-01,3.046259880065917969e-01,4.537400603294372559e-02,5.048458650708198547e-02
1.830000000000000071e+00,1.105824410915374756e-01,3.044154047966003418e-01,4.557633399963378906e-02,5.069302022457122803e-02
1.840000000000000080e+00,1.103710234165191650e-01,3.042055070400238037e-01,4.577827081084251404e-02,5.090082809329032898e-02
1.850000000000000089e+00,1.101603806018829346e-01,3.039959669113159180e-01,4.597980529069900513e-02,5.110821127891540527e-02
1.860000000000000098e+00,1.099504679441452026e-01,3.037869632244110107e-01,4.618102684617042542e-02,5.131502449512481689e-02
1.870000000000000107e+00,1.097414046525955200e-01,3.035785257816314697e-01,4.638183116912841797e-02,5.152132362127304077e-02
1.880000000000000115e+00,1.095330193638801575e-01,3.033704757690429688e-01,4.658223688602447510e-02,5.172706767916679382e-02
1.890000000000000124e+00,1.093255057930946350e-01,3.031629920005798340e-01,4.678234457969665527e-02,5.193238705396652222e-02
1.900000000000000133e+00,1.091186776757240295e-01,3.029560148715972900e-01,4.698204249143600464e-02,5.213706567883491516e-02
1.910000000000000142e+00,1.089126467704772949e-01,3.027495741844177246e-01,4.718142747879028320e-02,5.234131962060928345e-02
1.919999999999999929e+00,1.087073534727096558e-01,3.025434613227844238e-01,4.738032817840576172e-02,5.254513025283813477e-02
1.929999999999999938e+00,1.085027828812599182e-01,3.023379147052764893e-01,4.757889360189437866e-02,5.274834483861923218e-02
1.939999999999999947e+00,1.082990169525146484e-01,3.021328747272491455e-01,4.777714610099792480e-02,5.295107141137123108e-02
1.949999999999999956e+00,1.080958396196365356e-01,3.019284009933471680e-01,4.797499626874923706e-02,5.315322428941726685e-02
1.959999999999999964e+00,1.078935563564300537e-01,3.017243146896362305e-01,4.817249625921249390e-02,5.335506796836853027e-02
1.969999999999999973e+00,1.076918318867683411e-01,3.015207946300506592e-01,4.836953431367874146e-02,5.355621501803398132e-02
1.979999999999999982e+00,1.074908748269081116e-01,3.013176620006561279e-01,4.856628552079200745e-02,5.375693738460540771e-02
1.989999999999999991e+00,1.072907447814941406e-01,3.011150658130645752e-01,4.876257851719856262e-02,5.395719408988952637e-02
2.000000000000000000e+00,1.070912778377532959e-01,3.009128868579864502e-01,4.895851761102676392e-02,5.415697023272514343e-02
2.010000000000000231e+00,1.068924218416213989e-01,3.007112741470336914e-01,4.915411025285720825e-02,5.435614287853240967e-02
2.020000000000000018e+00,1.066942363977432251e-01,3.005101680755615234e-01,4.934932291507720947e-02,5.455493927001953125e-02
2.030000000000000249e+00,1.064968779683113098e-01,3.003094196319580078e-01,4.954409599304199219e-02,5.475325137376785278e-02
2.040000000000000036e+00,1.063001379370689392e-01,3.001092672348022461e-01,4.973848909139633179e-02,5.495098978281021118e-02
2.049999999999999822e+00,1.061040535569190979e-01,2.999095320701599121e-01,4.993251338601112366e-02,5.514830350875854492e-02
2.060000000000000053e+00,1.059086322784423828e-01,2.997103333473205566e-01,5.012620240449905396e-02,5.534507334232330322e-02
2.069999999999999840e+00,1.057139039039611816e-01,2.995116114616394043e-01,5.031945928931236267e-02,5.554137378931045532e-02
2.080000000000000071e+00,1.055198609828948975e-01,2.993132174015045166e-01,5.051238834857940674e-02,5.573726445436477661e-02
