time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
2.990000000000000213e+00,3.143470883369445801e-01,1.322546005249023438e+00,1.752625256776809692e-01,2.369009889662265778e-03
3.000000000000000000e+00,3.138487637042999268e-01,1.322102308273315430e+00,1.757656484842300415e-01,2.380826510488986969e-03
3.010000000000000231e+00,3.133507072925567627e-01,1.321659564971923828e+00,1.762682795524597168e-01,2.392960712313652039e-03
3.020000000000000018e+00,3.128531873226165771e-01,1.321217417716979980e+00,1.767701208591461182e-01,2.404998987913131714e-03
3.030000000000000249e+00,3.123559653759002686e-01,1.320776581764221191e+00,1.772712618112564087e-01,2.417028881609439850e-03
3.040000000000000036e+00,3.118590712547302246e-01,1.320336103439331055e+00,1.777716875076293945e-01,2.429026179015636444e-03
3.050000000000000266e+00,3.113625049591064453e-01,1.319896697998046875e+00,1.782715171575546265e-01,2.441176213324069977e-03
3.060000000000000053e+00,3.108664453029632568e-01,1.319458246231079102e+00,1.787706911563873291e-01,2.453403547406196594e-03
3.070000000000000284e+00,3.103706240653991699e-01,1.319020152091979980e+00,1.792690604925155640e-01,2.465534023940563202e-03
3.080000000000000071e+00,3.098753392696380615e-01,1.318583250045776367e+00,1.797667443752288818e-01,2.477799542248249054e-03
3.089999999999999858e+00,3.093803524971008301e-01,1.318146705627441406e+00,1.802636981010437012e-01,2.490009181201457977e-03
3.100000000000000089e+00,3.088856637477874756e-01,1.317711472511291504e+00,1.807601749897003174e-01,2.502359449863433838e-03
3.109999999999999876e+00,3.083915710449218750e-01,1.317276597023010254e+00,1.812556684017181396e-01,2.514702267944812775e-03
3.120000000000000107e+00,3.078976571559906006e-01,1.316842913627624512e+00,1.817504465579986572e-01,2.526988275349140167e-03
3.129999999999999893e+00,3.074041604995727539e-01,1.316409826278686523e+00,1.822446584701538086e-01,2.539440989494323730e-03
3.140000000000000124e+00,3.069111406803131104e-01,1.315977454185485840e+00,1.827380210161209106e-01,2.551875077188014984e-03
3.149999999999999911e+00,3.064183592796325684e-01,1.315546035766601562e+00,1.832307428121566772e-01,2.564213238656520844e-03
3.160000000000000142e+00,3.059261143207550049e-01,1.315115451812744141e+00,1.837225556373596191e-01,2.576665021479129791e-03
3.169999999999999929e+00,3.054343760013580322e-01,1.314685702323913574e+00,1.842136085033416748e-01,2.589126117527484894e-03
3.180000000000000160e+00,3.049429357051849365e-01,1.314256906509399414e+00,1.847040206193923950e-01,2.601549029350280762e-03
3.189999999999999947e+00,3.044518530368804932e-01,1.313828706741333008e+00,1.851937025785446167e-01,2.614112570881843567e-03
3.200000000000000178e+00,3.039613664150238037e-01,1.313401341438293457e+00,1.856825351715087891e-01,2.626688219606876373e-03
3.209999999999999964e+00,3.034709393978118896e-01,1.312974572181701660e+00,1.861706972122192383e-01,2.639185637235641479e-03
3.220000000000000195e+00,3.029811680316925049e-01,1.312548875808715820e+00,1.866579353809356689e-01,2.651765011250972748e-03
3.229999999999999982e+00,3.024918437004089355e-01,1.312123775482177734e+00,1.871445029973983765e-01,2.664405852556228638e-03
3.240000000000000213e+00,3.020029962062835693e-01,1.311699867248535156e+00,1.876301765441894531e-01,2.677017822861671448e-03
3.250000000000000000e+00,3.015146255493164062e-01,1.311276793479919434e+00,1.881151199340820312e-01,2.689686603844165802e-03
3.260000000000000231e+00,3.010264337062835693e-01,1.310854077339172363e+00,1.885993629693984985e-01,2.702312543988227844e-03
